Date	MowHeight[m]	Fertilizer[gm-2]	Irrigation[mm]	Seeds_PFT1	Seeds_PFT2	Seeds_PFT3
2013-04-01	NaN	5.5	NaN	NaN	NaN	NaN
2013-08-01	0.05	NaN	NaN	NaN	NaN	NaN
2014-04-01	NaN	5.5	NaN	NaN	NaN	NaN
2014-08-01	0.05	NaN	NaN	NaN	NaN	NaN
2015-04-01	NaN	5.5	NaN	NaN	NaN	NaN
2015-08-01	0.05	NaN	NaN	NaN	NaN	NaN
2016-04-01	NaN	5.5	NaN	NaN	NaN	NaN
2016-08-01	0.05	NaN	NaN	NaN	NaN	NaN
2017-07-11	NaN	3.5	NaN	NaN	NaN	NaN
2017-07-14	NaN	6.5	NaN	NaN	NaN	NaN
2017-08-13	0.05	NaN	NaN	NaN	NaN	NaN
2017-09-27	0.05	NaN	NaN	NaN	NaN	NaN
2018-03-01	NaN	5.5	NaN	NaN	NaN	NaN
2018-06-04	0.05	NaN	NaN	NaN	NaN	NaN
2019-03-01	NaN	5.5	NaN	NaN	NaN	NaN
2019-06-22	0.05	NaN	NaN	NaN	NaN	NaN
2020-03-02	NaN	5.5	NaN	NaN	NaN	NaN
2020-06-28	0.05	NaN	NaN	NaN	NaN	NaN
2021-03-04	NaN	5.5	NaN	NaN	NaN	NaN
2021-07-04	0.05	NaN	NaN	NaN	NaN	NaN
2022-04-01	NaN	5.5	NaN	NaN	NaN	NaN
2022-08-01	0.05	NaN	NaN	NaN	NaN	NaN
2023-04-01	NaN	5.5	NaN	NaN	NaN	NaN
2023-08-01	0.05	NaN	NaN	NaN	NaN	NaN
