data_source	time_stamp
https://rest.isric.org/soilgrids/v2.0/properties/query	2024-10-09T17:23:46+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_0-5cm_M_250m.tif	2024-10-09T17:23:48+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_5-15cm_M_250m.tif	2024-10-09T17:23:50+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_15-30cm_M_250m.tif	2024-10-09T17:23:51+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_30-60cm_M_250m.tif	2024-10-09T17:23:53+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_60-100cm_M_250m.tif	2024-10-09T17:23:55+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_100-200cm_M_250m.tif	2024-10-09T17:23:56+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_0-5cm_M_250m.tif	2024-10-09T17:23:58+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_5-15cm_M_250m.tif	2024-10-09T17:24:00+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_15-30cm_M_250m.tif	2024-10-09T17:24:01+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_30-60cm_M_250m.tif	2024-10-09T17:24:03+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_60-100cm_M_250m.tif	2024-10-09T17:24:05+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_100-200cm_M_250m.tif	2024-10-09T17:24:07+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCsat_0-5cm_M_250m.tif	2024-10-09T17:24:08+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCsat_5-15cm_M_250m.tif	2024-10-09T17:24:09+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCsat_15-30cm_M_250m.tif	2024-10-09T17:24:11+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCsat_30-60cm_M_250m.tif	2024-10-09T17:24:13+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCsat_60-100cm_M_250m.tif	2024-10-09T17:24:14+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCsat_100-200cm_M_250m.tif	2024-10-09T17:24:16+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/Ksat_0-5cm_M_250m.tif	2024-10-09T17:24:18+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/Ksat_5-15cm_M_250m.tif	2024-10-09T17:24:20+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/Ksat_15-30cm_M_250m.tif	2024-10-09T17:24:22+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/Ksat_30-60cm_M_250m.tif	2024-10-09T17:24:25+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/Ksat_60-100cm_M_250m.tif	2024-10-09T17:24:29+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/Ksat_100-200cm_M_250m.tif	2024-10-09T17:24:32+00:00
