management_data_source	time_stamp
http://134.94.199.14/grasslands-pdt/landUseMaps/GER_Schwieder/GLU_GER_2017_SUM_DOY_COG.tif	2024-08-16T09:25:32.943659+00:00
http://134.94.199.14/grasslands-pdt/landUseMaps/GER_Schwieder/GLU_GER_2017_SUM_DOY_COG.tif	2024-08-16T09:25:32.988610+00:00
http://134.94.199.14/grasslands-pdt/landUseMaps/GER_Schwieder/GLU_GER_2018_SUM_DOY_COG.tif	2024-08-16T09:25:33.324322+00:00
http://134.94.199.14/grasslands-pdt/landUseMaps/GER_Schwieder/GLU_GER_2019_SUM_DOY_COG.tif	2024-08-16T09:25:33.698693+00:00
http://134.94.199.14/grasslands-pdt/landUseMaps/GER_Schwieder/GLU_GER_2019_SUM_DOY_COG.tif	2024-08-16T09:25:33.731974+00:00
http://134.94.199.14/grasslands-pdt/landUseMaps/GER_Schwieder/GLU_GER_2020_SUM_DOY_COG.tif	2024-08-16T09:25:34.057449+00:00
http://134.94.199.14/grasslands-pdt/landUseMaps/GER_Schwieder/GLU_GER_2020_SUM_DOY_COG.tif	2024-08-16T09:25:34.101475+00:00
http://134.94.199.14/grasslands-pdt/landUseMaps/GER_Schwieder/GLU_GER_2021_SUM_DOY_COG.tif	2024-08-16T09:25:34.436973+00:00
http://134.94.199.14/grasslands-pdt/landUseMaps/GER_Schwieder/GLU_GER_2021_SUM_DOY_COG.tif	2024-08-16T09:25:34.474427+00:00
http://134.94.199.14/grasslands-pdt/landUseMaps/GER_Schwieder/GLU_GER_2021_SUM_DOY_COG.tif	2024-08-16T09:25:34.508509+00:00
