Silt	Clay	Sand
0.59	0.13	0.28
		
Layer	LayerWidth[cm]	FC[V%]	PWP[V%]	POR[V%]	KS[mm/d]
1	10	38.4	15.5	46.2	604
2	10	38.4	15.5	46.2	604
3	10	38.4	15.5	46.2	604
4	10	38.5	15.1	47.5	280
5	10	38.5	15.1	47.5	280
6	10	37.7	15	50.8	277
7	10	38.2	9.5	46.82	108
8	10	38.2	9.5	46.82	108
9	10	38.2	9.5	46.82	108
10	10	38.2	9.5	46.82	108
11	10	38.2	9.5	46.82	108
12	10	38.2	9.5	46.82	108
13	10	38.2	9.5	46.82	108
14	10	15.6	7	32.0	1243
15	10	15.6	7	32.0	1243
16	10	15.6	7	32.0	1243
17	10	15.6	7	32.0	1243
18	10	20.2	8.4	35.4	625
19	10	20.2	8.4	35.4	625
