soil_data_source	time_stamp
https://rest.isric.org/soilgrids/v2.0/properties/query	2024-08-16T09:25:19.735514+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_0-5cm_M_250m.tif	2024-08-16T09:25:21.445537+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_5-15cm_M_250m.tif	2024-08-16T09:25:21.517331+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_15-30cm_M_250m.tif	2024-08-16T09:25:21.590752+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_30-60cm_M_250m.tif	2024-08-16T09:25:21.667523+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_60-100cm_M_250m.tif	2024-08-16T09:25:21.747797+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_100-200cm_M_250m.tif	2024-08-16T09:25:21.827000+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_0-5cm_M_250m.tif	2024-08-16T09:25:21.921430+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_5-15cm_M_250m.tif	2024-08-16T09:25:21.994576+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_15-30cm_M_250m.tif	2024-08-16T09:25:22.074905+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_30-60cm_M_250m.tif	2024-08-16T09:25:22.159118+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_60-100cm_M_250m.tif	2024-08-16T09:25:22.242204+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_100-200cm_M_250m.tif	2024-08-16T09:25:22.325443+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCsat_0-5cm_M_250m.tif	2024-08-16T09:25:22.407679+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCsat_5-15cm_M_250m.tif	2024-08-16T09:25:22.493526+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCsat_15-30cm_M_250m.tif	2024-08-16T09:25:22.571627+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCsat_30-60cm_M_250m.tif	2024-08-16T09:25:22.643927+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCsat_60-100cm_M_250m.tif	2024-08-16T09:25:22.724964+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCsat_100-200cm_M_250m.tif	2024-08-16T09:25:22.805274+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/Ksat_0-5cm_M_250m.tif	2024-08-16T09:25:22.884557+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/Ksat_5-15cm_M_250m.tif	2024-08-16T09:25:22.967616+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/Ksat_15-30cm_M_250m.tif	2024-08-16T09:25:23.050478+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/Ksat_30-60cm_M_250m.tif	2024-08-16T09:25:23.122040+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/Ksat_60-100cm_M_250m.tif	2024-08-16T09:25:23.201690+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/Ksat_100-200cm_M_250m.tif	2024-08-16T09:25:23.283460+00:00
