Date	Precipitation[mmd-1]	Temperature[degC]	PPFD[mmolm-2s-1]	PET[mmd-1]	
2013-01-01	0.9	6.5723358	29.247158	0.276890061958886
2013-01-02	0	4.4370468	69.500645	0.256660802391786
2013-01-03	0.6	6.5082532	35.214073	0.283194521070582
2013-01-04	5.9	8.7915288	26.773825	0.313509376106599
2013-01-05	0.5	7.7217414	35.074948	0.305624084298571
2013-01-06	3.4	6.74925	12.443955	0.299004999957946
2013-01-07	0.5	5.4898258	39.913404	0.289119559477103
2013-01-08	1.1	5.8676262	20.667785	0.298786274674446
2013-01-09	2.8	5.8269132	38.56853	0.303829213129808
2013-01-10	2.1	3.3714108	62.358898	0.279686065089776
2013-01-11	0	-0.7192406	99.505261	0.236769954090812
2013-01-12	0	-2.2210008	168.062948	0.22459117437295
2013-01-13	0.2	-2.645742	58.35519	0.224725236582638
2013-01-14	0	-3.3873478	83.351308	0.221312442054866
2013-01-15	0	-5.405989	184.649735	0.203532357324956
2013-01-16	1.5	-3.3036452	22.553701	0.232982416278275
2013-01-17	0	-2.2556872	43.56157	0.251656964671878
2013-01-18	0	-3.6035688	27.392158	0.24090698642038
2013-01-19	0	-6.2598234	54.645192	0.214429444078015
2013-01-20	0	-5.7436122	74.246352	0.226303781949547
2013-01-21	3	-5.5216998	47.379777	0.235041385563636
2013-01-22	0	-7.2482518	76.812435	0.219433068160974
2013-01-23	1.9	-6.3968278	49.822193	0.236225720826833
2013-01-24	0	-5.0382328	70.01077	0.260958089492922
2013-01-25	0	-6.439952	160.874826	0.248586440916423
2013-01-26	0	-6.4070064	150.904204	0.255814692450754
2013-01-27	0.6	0.097564	82.083725	0.363178891494558
2013-01-28	0	2.960464	197.804773	0.421974935579472
2013-01-29	4.3	5.4815226	25.7072	0.478667388637232
2013-01-30	6.7	10.0539664	69.346062	0.577371506687792
2013-01-31	3.8	6.191857	122.677296	0.517492450442588
2013-02-01	4.1	4.8563634	45.153778	0.504773609457952
2013-02-02	1.7	1.9098946	79.486726	0.459867533113138
2013-02-03	0.5	1.4443736	68.557687	0.462720175624563
2013-02-04	2.1	4.2460036	51.522609	0.532381285143808
2013-02-05	0.3	3.3148948	163.008075	0.526399232393699
2013-02-06	0	-0.232091	266.795293	0.46475920205787
2013-02-07	0.9	-0.0756002	101.267511	0.48019527644942
2013-02-08	0.9	-0.7815154	166.578949	0.477319445120317
2013-02-09	0.5	-1.843803	95.532471	0.466380480350032
2013-02-10	0	-2.259772	202.535021	0.46916228822098
2013-02-11	0	-2.7867642	235.523094	0.469316004883549
2013-02-12	0	-1.3566532	91.250514	0.514381242431534
2013-02-13	0.2	-2.2035238	128.242294	0.507098970765028
2013-02-14	0	-2.3690544	149.234704	0.515741720942819
2013-02-15	0	0.2331622	260.859295	0.594085165732961
2013-02-16	0	1.6409748	64.306647	0.645792411512907
2013-02-17	0	0.858321	40.794529	0.640011505477167
2013-02-18	0	0.5365008	59.576398	0.646354439061868
2013-02-19	3.1	0.2153502	68.851396	0.652568389074649
2013-02-20	0	-1.3109184	149.002829	0.624526381293548
2013-02-21	0	-3.234674	165.852407	0.584725193934738
2013-02-22	0	-3.944138	120.018463	0.578237823927198
2013-02-23	1.5	-3.4739968	86.829432	0.604959195341073
2013-02-24	3.9	-0.34519	85.098099	0.713196964258619
2013-02-25	4.9	0.7294188	54.66065	0.763113505481371
2013-02-26	0	0.428089	64.847688	0.769928424933689
2013-02-27	0.5	0.120264	81.140767	0.776325267659471
2013-02-28	0	0.9348586	100.448219	0.820446700129403
2013-03-01	0	1.1741146	110.465216	0.845977534504548
2013-03-02	0	0.5836422	350.332101	0.842632194251856
2013-03-03	0	1.6950132	124.965128	0.9000252715675
2013-03-04	0	2.7540198	396.02692	0.957475128827105
2013-03-05	0	3.3604958	429.927035	0.99954521982273
2013-03-06	0	4.9470304	381.527008	1.08086555351879
2013-03-07	1.7	4.5589846	106.291467	1.08625853428962
2013-03-08	0.1	2.2743028	32.64799	1.01506125567614
2013-03-09	1.3	0.249635	38.831321	0.952574515713962
2013-03-10	1.6	-0.2408628	41.706571	0.950479487637582
2013-03-11	0	-4.554699	122.182629	0.795876967717557
2013-03-12	2.2	-4.5222224	184.912527	0.81174756115445
2013-03-13	1	-5.6206028	331.28744	0.783138212821162
2013-03-14	0.3	-5.0417818	350.703101	0.820203456460597
2013-03-15	0.4	-4.0776606	372.731219	0.874317190982023
2013-03-16	0	-3.4329488	494.71289	0.916818269974762
2013-03-17	0	0.988897	338.042729	1.13056597926116
2013-03-18	8	0.0765378	100.278178	1.10694823438469
2013-03-19	3.1	-0.7383248	214.839851	1.08696266163094
2013-03-20	7	-0.6457162	250.08484	1.10892662531175
2013-03-21	1.3	-1.1261026	289.920953	1.10356548859406
2013-03-22	0	-3.3006318	186.659318	1.01698245804907
2013-03-23	0	-5.89642	479.610103	0.911812829133428
2013-03-24	0	-6.0673746	549.729081	0.917957812311881
2013-03-25	0	-3.9174874	517.127466	1.03419752826062
2013-03-26	0	-2.8481016	532.879503	1.10271563063081
2013-03-27	0	-2.2197954	365.774971	1.15089765288819
2013-03-28	0	-0.233765	372.947635	1.27208414567569
2013-03-29	6	-0.5862538	202.797813	1.27094033367077
2013-03-30	0	-0.656497	464.692816	1.28467070089496
2013-03-31	0.8	-0.5886644	274.879999	1.30590701714632
2013-04-01	0.2	-0.0538374	554.938538	1.35339688159056
2013-04-02	0	0.4444948	237.656344	1.39968989253252
2013-04-03	0	0.392867	121.177838	1.41479441132933
2013-04-04	0	0.9728262	162.235158	1.4668878262628
2013-04-05	0	1.3196232	72.360436	1.50593051876555
2013-04-06	0	1.1998278	103.40076	1.51716182865616
2013-04-07	0	2.5645838	454.165694	1.61931515568291
2013-04-08	0	3.392035	469.113898	1.69020609735819
2013-04-09	0	6.1264346	234.657428	1.88346176448672
2013-04-10	4.9	6.1310554	201.700271	1.90517594578664
2013-04-11	2.1	10.3615904	219.554641	2.19925877728698
2013-04-12	7.1	10.4187764	284.850621	2.22693126378505
2013-04-13	0.2	9.4556594	236.744302	2.18792108614351
2013-04-14	0.1	11.0176858	329.958024	2.31376084599741
2013-04-15	0	15.759745	564.553618	2.64364968030536
2013-04-16	0	15.8297204	430.993659	2.67473280783418
2013-04-17	0	16.5081142	465.264774	2.74432714236073
2013-04-18	0	17.0598824	413.726706	2.80605925111388
2013-04-19	0	12.0712686	371.680052	2.50322859537857
2013-04-20	0	7.5797146	543.17475	2.21350951396316
2013-04-21	0	10.1124914	475.142646	2.41342337536691
2013-04-22	0	11.0892686	393.213504	2.50431788874733
2013-04-23	0	12.3507018	526.000547	2.61556813473886
2013-04-24	0	14.3321118	569.62395	2.77697518337296
2013-04-25	0	16.3028084	446.962113	2.93632433515457
2013-04-26	6.5	16.1502014	453.871986	2.95026150863331
2013-04-27	9.2	6.3025454	94.264888	2.25688707819509
2013-04-28	2.7	7.9878492	333.142439	2.40241583814807
2013-04-29	0	10.5312058	357.211057	2.61308498446989
2013-04-30	1.4	8.6009532	225.666518	2.48687911129409
2013-05-01	0	10.4679264	265.836877	2.64823305114732
2013-05-02	0	10.8841634	90.508514	2.69951407397152
2013-05-03	0	12.0627642	531.472795	2.80884023889316
2013-05-04	0.2	11.7061908	374.01426	2.80131869655471
2013-05-05	0	14.2320704	686.442539	3.01289542768935
2013-05-06	0	15.029322	540.886917	3.0930105997726
2013-05-07	10.6	14.6737528	127.268419	3.08643947458016
2013-05-08	0	17.4337324	629.710473	3.31207305984162
2013-05-09	4.1	16.14759	327.051858	3.23711614787849
2013-05-10	0	14.924794	446.761154	3.1637060485682
2013-05-11	0	12.7449076	264.275585	3.01199622598241
2013-05-12	0.1	10.2683792	416.18458	2.82980937222486
2013-05-13	0	10.0154632	327.160066	2.82503651329123
2013-05-14	0	12.3755448	449.064445	3.03330940264437
2013-05-15	1.9	16.011121	660.472547	3.33844975994359
2013-05-16	0.6	17.6632116	586.396236	3.48299291332
2013-05-17	0.1	18.338726	523.264423	3.55179033022729
2013-05-18	13.4	12.7700856	285.345287	3.12811890774812
2013-05-19	0.1	14.146158	727.901776	3.25539924971331
2013-05-20	0.1	13.5716896	435.785741	3.22335367160172
2013-05-21	0	12.6600668	444.813405	3.16213915118549
2013-05-22	18.4	9.2743928	144.411706	2.8882199437083
2013-05-23	0	8.568813	520.992048	2.83909842169918
2013-05-24	0.3	7.65873	307.898989	2.77105516390291
2013-05-25	5.3	9.1033046	352.248933	2.90819050496285
2013-05-26	32.4	8.7996984	118.982755	2.89244886477055
2013-05-27	4.1	10.0325386	119.832963	3.01079637821863
2013-05-28	0.5	12.43119	518.286841	3.22889321923156
2013-05-29	7	12.9267102	322.584401	3.28197036996402
2013-05-30	8.2	11.1825466	92.610847	3.14142234418594
2013-05-31	16.1	13.5706184	118.84363	3.35731644098097
2013-06-01	5	13.2280396	271.525542	3.3375182372551
2013-06-02	5	9.9072524	128.937919	3.05567188786898
2013-06-03	0.6	11.3097008	276.537607	3.18782794083368
2013-06-04	0	12.9136522	391.080255	3.33609934432644
2013-06-05	0	14.2618684	822.182122	3.46018079712973
2013-06-06	0	15.9998046	786.859842	3.61514097266945
2013-06-07	0	17.851844	669.902127	3.77589474755324
2013-06-08	0	18.2806026	717.652904	3.81791751156259
2013-06-09	18.7	15.4792408	376.286634	3.5914824531187
2013-06-10	0	15.4044438	513.355634	3.59084103896748
2013-06-11	0	15.6832072	608.779896	3.61979984104784
2013-06-12	0	17.9913262	727.40711	3.81756843778811
2013-06-13	2.4	20.471069	545.478041	4.02177052009079
2013-06-14	11.3	15.0139206	590.70911	3.5753502668565
2013-06-15	0	16.447982	560.395328	3.70086336618481
2013-06-16	0	16.0369016	501.004429	3.6689043307314
2013-06-17	0	18.9818302	716.462613	3.91596300169166
2013-06-18	0	22.6494148	749.51252	4.20607267053409
2013-06-19	0	25.7872618	748.198562	4.43853484420422
