Date	Precipitation[mm]	Temperature[degC]	Temperature_Daylight[degC]	PAR[µmolm-2s-1]	Daylength[h]	PET[mm]
2013-01-01	0.9	6.5723358	6.5723358	50.821056	7.943773	0.601255
2013-01-02	0	4.4370468	4.4370468	61.902889	7.964008	0.399622
2013-01-03	0.6	6.5082532	6.5082532	16.213338	7.985895	0.653323
2013-01-04	5.9	8.7915288	8.7915288	18.360761	8.009409	0.879492
2013-01-05	0.5	7.7217414	7.7217414	23.650755	8.034523	0.723065
2013-01-06	3.4	6.74925	6.74925	22.709906	8.061206	0.624765
2013-01-07	0.5	5.4898258	5.4898258	24.541466	8.08943	0.534521
2013-01-08	1.1	5.8676262	5.8676262	10.828895	8.119164	0.562762
2013-01-09	2.8	5.8269132	5.8269132	22.438942	8.150373	0.559648
2013-01-10	2.1	3.3714108	3.3714108	65.139898	8.183027	0.300602
2013-01-11	0	-0.7192406	-0.7192406	81.099804	8.217089	0
2013-01-12	0	-2.2210008	-2.2210008	102.460567	8.252525	0
2013-01-13	0.2	-2.645742	-2.645742	68.240155	8.2893	0
2013-01-14	0	-3.3873478	-3.3873478	98.74991	8.327378	0
2013-01-15	0	-5.405989	-5.405989	116.522501	8.366721	0
2013-01-16	1.5	-3.3036452	-3.3036452	48.032903	8.407294	0
2013-01-17	0	-2.2556872	-2.2556872	48.380857	8.449059	0
2013-01-18	0	-3.6035688	-3.6035688	67.220055	8.49198	0
2013-01-19	0	-6.2598234	-6.2598234	70.555309	8.536019	0
2013-01-20	0	-5.7436122	-5.7436122	78.482388	8.58114	0
2013-01-21	3	-5.5216998	-5.5216998	37.599617	8.627305	0
2013-01-22	0	-7.2482518	-7.2482518	89.83691	8.67448	0
2013-01-23	1.9	-6.3968278	-6.3968278	95.364291	8.722626	0
2013-01-24	0	-5.0382328	-5.0382328	67.21308	8.77171	0
2013-01-25	0	-6.439952	-6.439952	86.697029	8.821695	0
2013-01-26	0	-6.4070064	-6.4070064	155.145459	8.872548	0
2013-01-27	0.6	0.097564	0.097564	55.033536	8.924233	0
2013-01-28	0	2.960464	2.960464	138.125145	8.976718	0.195535
2013-01-29	4.3	5.4815226	5.4815226	41.217428	9.02997	0.618387
2013-01-30	6.7	10.0539664	10.0539664	38.104736	9.083956	1.05302
2013-01-31	3.8	6.191857	6.191857	122.129822	9.138646	0.618169
2013-02-01	4.1	4.8563634	4.8563634	77.346621	9.194009	0.461456
2013-02-02	1.7	1.9098946	1.9098946	77.734666	9.250015	0.119863
2013-02-03	0.5	1.4443736	1.4443736	110.275858	9.306635	0.101166
2013-02-04	2.1	4.2460036	4.2460036	35.963728	9.36384	0.366328
2013-02-05	0.3	3.3148948	3.3148948	108.130467	9.421604	0.248736
2013-02-06	0	-0.232091	-0.232091	144.150824	9.4799	0
2013-02-07	0.9	-0.0756002	-0.0756002	152.679697	9.538702	0
2013-02-08	0.9	-0.7815154	-0.7815154	130.585233	9.597986	0
2013-02-09	0.5	-1.843803	-1.843803	145.188358	9.657727	0
2013-02-10	0	-2.259772	-2.259772	208.216848	9.717902	0
2013-02-11	0	-2.7867642	-2.7867642	121.295617	9.778488	0
2013-02-12	0	-1.3566532	-1.3566532	110.317244	9.839465	0
2013-02-13	0.2	-2.2035238	-2.2035238	140.458368	9.90081	0
2013-02-14	0	-2.3690544	-2.3690544	129.292241	9.962505	0
2013-02-15	0	0.2331622	0.2331622	189.781443	10.02453	0
2013-02-16	0	1.6409748	1.6409748	100.88647	10.086867	0.142502
2013-02-17	0	0.858321	0.858321	83.344333	10.149497	0.067126
2013-02-18	0	0.5365008	0.5365008	109.112258	10.212403	0.034114
2013-02-19	3.1	0.2153502	0.2153502	72.798046	10.27557	0.025017
2013-02-20	0	-1.3109184	-1.3109184	193.174623	10.338982	0
2013-02-21	0	-3.234674	-3.234674	146.76963	10.402623	0
2013-02-22	0	-3.944138	-3.944138	191.252122	10.466479	0
2013-02-23	1.5	-3.4739968	-3.4739968	91.838162	10.530537	0
2013-02-24	3.9	-0.34519	-0.34519	91.367854	10.594784	0
2013-02-25	4.9	0.7294188	0.7294188	81.430929	10.659205	0.093396
2013-02-26	0	0.428089	0.428089	59.750683	10.723791	0.050896
2013-02-27	0.5	0.120264	0.120264	98.816125	10.788529	0.016108
2013-02-28	0	0.9348586	0.9348586	147.034508	10.853408	0.051073
2013-03-01	0	1.1741146	1.1741146	138.64376	10.918417	0.036455
2013-03-02	0	0.5836422	0.5836422	299.709867	10.983547	0
2013-03-03	0	1.6950132	1.6950132	168.607895	11.048788	0.058751
2013-03-04	0	2.7540198	2.7540198	316.913845	11.114131	0.049153
2013-03-05	0	3.3604958	3.3604958	340.080133	11.179566	0.21043
2013-03-06	0	4.9470304	4.9470304	342.648939	11.245086	0.465033
2013-03-07	1.7	4.5589846	4.5589846	156.911818	11.310681	0.520154
2013-03-08	0.1	2.2743028	2.2743028	105.128346	11.376345	0.402331
2013-03-09	1.3	0.249635	0.249635	53.051861	11.44207	0.02271
2013-03-10	1.6	-0.2408628	-0.2408628	103.737267	11.507849	0.093457
2013-03-11	0	-4.554699	-4.554699	177.446287	11.573674	0
2013-03-12	2.2	-4.5222224	-4.5222224	148.166261	11.639539	0
2013-03-13	1	-5.6206028	-5.6206028	239.092063	11.705437	0
2013-03-14	0.3	-5.0417818	-5.0417818	341.414257	11.771362	0
2013-03-15	0.4	-4.0776606	-4.0776606	338.019777	11.837308	0
2013-03-16	0	-3.4329488	-3.4329488	402.99314	11.903269	0
2013-03-17	0	0.988897	0.988897	301.256615	11.969238	0.056702
2013-03-18	8	0.0765378	0.0765378	137.609261	12.035211	0.113007
2013-03-19	3.1	-0.7383248	-0.7383248	217.885366	12.10118	0
2013-03-20	7	-0.6457162	-0.6457162	237.647946	12.167142	0
2013-03-21	1.3	-1.1261026	-1.1261026	228.847601	12.233089	0
2013-03-22	0	-3.3006318	-3.3006318	198.202161	12.299017	0
2013-03-23	0	-5.89642	-5.89642	389.906151	12.364919	0
2013-03-24	0	-6.0673746	-6.0673746	468.674297	12.430791	0
2013-03-25	0	-3.9174874	-3.9174874	428.943994	12.496627	0
2013-03-26	0	-2.8481016	-2.8481016	459.302907	12.56242	0
2013-03-27	0	-2.2197954	-2.2197954	359.053306	12.628166	0
2013-03-28	0	-0.233765	-0.233765	240.211933	12.693858	0
2013-03-29	6	-0.5862538	-0.5862538	242.192037	12.759491	0
2013-03-30	0	-0.656497	-0.656497	296.750842	12.825058	0
2013-03-31	0.8	-0.5886644	-0.5886644	251.933447	12.890553	0
2013-04-01	0.2	-0.0538374	-0.0538374	289.149449	12.955969	0
2013-04-02	0	0.4444948	0.4444948	258.184196	13.021301	0
2013-04-03	0	0.392867	0.392867	192.054332	13.086541	0
2013-04-04	0	0.9728262	0.9728262	186.754392	13.151683	0.049929
2013-04-05	0	1.3196232	1.3196232	141.125702	13.216718	0.128202
2013-04-06	0	1.1998278	1.1998278	184.226599	13.28164	0.147389
2013-04-07	0	2.5645838	2.5645838	400.063735	13.34644	0.24259
2013-04-08	0	3.392035	3.392035	445.051344	13.411111	0.40372
2013-04-09	0	6.1264346	6.1264346	400.393765	13.475644	0.88642
2013-04-10	4.9	6.1310554	6.1310554	302.089214	13.540029	1.02721
2013-04-11	2.1	10.3615904	10.3615904	249.958591	13.604259	1.561194
2013-04-12	7.1	10.4187764	10.4187764	261.708929	13.668323	1.719855
2013-04-13	0.2	9.4556594	9.4556594	440.392348	13.732212	1.629136
2013-04-14	0.1	11.0176858	11.0176858	310.310904	13.795915	1.886486
2013-04-15	0	15.759745	15.759745	552.707055	13.859421	2.78352
2013-04-16	0	15.8297204	15.8297204	476.46264	13.922718	2.536241
2013-04-17	0	16.5081142	16.5081142	392.319624	13.985796	2.748888
2013-04-18	0	17.0598824	17.0598824	513.790535	14.048642	3.097182
2013-04-19	0	12.0712686	12.0712686	416.984798	14.111243	2.04442
2013-04-20	0	7.5797146	7.5797146	419.255687	14.173586	1.300812
2013-04-21	0	10.1124914	10.1124914	439.061266	14.235657	1.926842
2013-04-22	0	11.0892686	11.0892686	337.488483	14.297442	2.007003
2013-04-23	0	12.3507018	12.3507018	461.760847	14.358925	2.189793
2013-04-24	0	14.3321118	14.3321118	482.470533	14.420091	2.598715
2013-04-25	0	16.3028084	16.3028084	510.789716	14.480925	3.080941
2013-04-26	6.5	16.1502014	16.1502014	516.740247	14.541408	3.283512
2013-04-27	9.2	6.3025454	6.3025454	84.458063	14.601524	1.174461
2013-04-28	2.7	7.9878492	7.9878492	394.259005	14.661255	1.526213
2013-04-29	0	10.5312058	10.5312058	345.750922	14.720581	1.978964
2013-04-30	1.4	8.6009532	8.6009532	315.969045	14.779485	1.789475
2013-05-01	0	10.4679264	10.4679264	311.530106	14.837944	2.032186
2013-05-02	0	10.8841634	10.8841634	212.702983	14.89594	2.262237
2013-05-03	0	12.0627642	12.0627642	382.962561	14.953449	2.232449
2013-05-04	0.2	11.7061908	11.7061908	332.563857	15.010452	2.179094
2013-05-05	0	14.2320704	14.2320704	625.849348	15.066923	2.688608
2013-05-06	0	15.029322	15.029322	576.153581	15.122841	2.932939
2013-05-07	10.6	14.6737528	14.6737528	278.481353	15.178181	3.053053
2013-05-08	0	17.4337324	17.4337324	517.477565	15.232917	3.395707
2013-05-09	4.1	16.14759	16.14759	528.339289	15.287026	3.425027
2013-05-10	0	14.924794	14.924794	412.774324	15.340481	2.940893
2013-05-11	0	12.7449076	12.7449076	490.422605	15.393254	2.556377
2013-05-12	0.1	10.2683792	10.2683792	464.350195	15.445319	2.089459
2013-05-13	0	10.0154632	10.0154632	282.134884	15.496648	1.936149
2013-05-14	0	12.3755448	12.3755448	498.102654	15.547212	2.649119
2013-05-15	1.9	16.011121	16.011121	654.56622	15.596982	3.39784
2013-05-16	0.6	17.6632116	17.6632116	605.666425	15.645929	3.716901
2013-05-17	0.1	18.338726	18.338726	588.504124	15.694023	3.928073
2013-05-18	13.4	12.7700856	12.7700856	205.345708	15.741233	2.705877
2013-05-19	0.1	14.146158	14.146158	560.21576	15.787529	3.024771
2013-05-20	0.1	13.5716896	13.5716896	392.123378	15.832879	2.813878
2013-05-21	0	12.6600668	12.6600668	486.808162	15.877252	2.610895
2013-05-22	18.4	9.2743928	9.2743928	152.259974	15.920617	1.874167
2013-05-23	0	8.568813	8.568813	478.888861	15.96294	1.849373
2013-05-24	0.3	7.65873	7.65873	264.722307	16.004192	1.634131
2013-05-25	5.3	9.1033046	9.1033046	425.430306	16.044339	1.934295
2013-05-26	32.4	8.7996984	8.7996984	71.954087	16.083349	1.773597
2013-05-27	4.1	10.0325386	10.0325386	139.488516	16.121191	2.081662
2013-05-28	0.5	12.43119	12.43119	485.518505	16.157833	2.652701
2013-05-29	7	12.9267102	12.9267102	448.700991	16.193244	2.660847
2013-05-30	8.2	11.1825466	11.1825466	271.047569	16.227393	2.524377
2013-05-31	16.1	13.5706184	13.5706184	194.263625	16.260249	3.150217
2013-06-01	5	13.2280396	13.2280396	240.053428	16.291782	3.075321
2013-06-02	5	9.9072524	9.9072524	123.279746	16.321963	2.206133
