Date	MowHeight[m]	Fertilizer[gm-2]	Irrigation[mm]	Seeds_PFT1	Seeds_PFT2	Seeds_PFT3
2013-09-01	-9999	-9999	-9999	500	500	500
2014-03-04	-9999	10	-9999	-9999	-9999	-9999
2014-05-07	0.1	-9999	-9999	-9999	-9999	-9999
2014-06-30	0.1	-9999	-9999	-9999	-9999	-9999
2014-07-02	-9999	6	-9999	-9999	-9999	-9999
2014-09-29	0.1	-9999	-9999	-9999	-9999	-9999
2015-03-13	-9999	9	-9999	-9999	-9999	-9999
2015-05-05	0.1	-9999	-9999	-9999	-9999	-9999
2015-05-06	-9999	8	-9999	-9999	-9999	-9999
2015-06-22	0.1	-9999	-9999	-9999	-9999	-9999
2015-06-22	-9999	7	-9999	-9999	-9999	-9999
2015-08-26	0.1	-9999	-9999	-9999	-9999	-9999
2015-08-31	-9999	6	-9999	-9999	-9999	-9999
2015-10-27	0.1	-9999	-9999	-9999	-9999	-9999
2016-03-07	-9999	9	-9999	-9999	-9999	-9999
2016-04-27	0.1	-9999	-9999	-9999	-9999	-9999
2016-04-29	-9999	8	-9999	-9999	-9999	-9999
2016-06-13	0.1	-9999	-9999	-9999	-9999	-9999
2016-06-15	-9999	7	-9999	-9999	-9999	-9999
2016-08-08	0.1	-9999	-9999	-9999	-9999	-9999
2016-08-15	-9999	6	-9999	-9999	-9999	-9999
2016-11-01	0.1	-9999	-9999	-9999	-9999	-9999
2017-03-06	-9999	9	-9999	-9999	-9999	-9999
2017-04-24	0.1	-9999	-9999	-9999	-9999	-9999
2017-04-26	-9999	8	-9999	-9999	-9999	-9999
2017-06-13	0.1	-9999	-9999	-9999	-9999	-9999
2017-06-15	-9999	7	-9999	-9999	-9999	-9999
2017-08-07	0.1	-9999	-9999	-9999	-9999	-9999
2017-08-24	-9999	6	-9999	-9999	-9999	-9999
2017-10-17	0.1	-9999	-9999	-9999	-9999	-9999
2018-03-26	-9999	9	-9999	-9999	-9999	-9999
2018-05-07	0.1	-9999	-9999	-9999	-9999	-9999
2018-05-09	-9999	8	-9999	-9999	-9999	-9999
2018-06-25	0.1	-9999	-9999	-9999	-9999	-9999
2018-06-26	-9999	7	-9999	-9999	-9999	-9999
2019-03-01	-9999	9	-9999	-9999	-9999	-9999
2019-05-02	0.1	-9999	-9999	-9999	-9999	-9999
2019-05-07	-9999	5	-9999	-9999	-9999	-9999
2019-06-11	0.1	-9999	-9999	-9999	-9999	-9999
2019-06-14	-9999	4	-9999	-9999	-9999	-9999
2020-03-05	-9999	9	-9999	-9999	-9999	-9999
2020-04-27	0.1	-9999	-9999	-9999	-9999	-9999
2020-04-30	-9999	5	-9999	-9999	-9999	-9999
2020-06-16	0.1	-9999	-9999	-9999	-9999	-9999
2020-06-19	-9999	4	-9999	-9999	-9999	-9999
2021-03-09	-9999	9	-9999	-9999	-9999	-9999
2021-05-10	0.1	-9999	-9999	-9999	-9999	-9999
2021-05-18	-9999	5	-9999	-9999	-9999	-9999
2021-06-15	0.1	-9999	-9999	-9999	-9999	-9999
2021-06-22	-9999	4	-9999	-9999	-9999	-9999
2021-09-06	0.1	-9999	-9999	-9999	-9999	-9999
2021-09-10	-9999	3	-9999	-9999	-9999	-9999
2021-10-11	0.1	-9999	-9999	-9999	-9999	-9999
2022-03-03	-9999	9	-9999	-9999	-9999	-9999
2022-05-09	0.1	-9999	-9999	-9999	-9999	-9999
2022-05-10	-9999	5	-9999	-9999	-9999	-9999
2022-06-27	0.1	-9999	-9999	-9999	-9999	-9999
2022-07-07	-9999	4	-9999	-9999	-9999	-9999
2022-11-01	0.1	-9999	-9999	-9999	-9999	-9999
