Silt	Clay	Sand				
0.56	0.14	0.30				
						
Layer	FC[V%]	PWP[V%]	POR[V%]	KS[mm/d]
1	38.4	15.5	48.46	604
2	38.4	15.5	48.46	604
3	38.4	15.5	48.46	604
4	38.5	15.1	49.05	280
5	38.5	15.1	49.05	280
6	37.7	15	50.75	277
7	38.2	9.5	46.82	108
8	38.2	9.5	46.82	108
9	38.2	9.5	46.82	108
10	38.2	9.5	46.82	108
11	38.2	9.5	46.82	108
12	38.2	9.5	46.82	108
13	38.2	9.5	46.82	108
14	15.6	7	31.95	1243
15	15.6	7	31.95	1243
16	15.6	7	31.95	1243
17	15.6	7	31.95	1243
18	20.2	8.4	35.36	625
19	20.2	8.4	35.36	625
20	20.2	8.4	35.36	625
