Date	DayCount	PFT	Age	NumberPlants	Height	Width	LAI	CoveredArea	RootDepth	NumberSoilLayers	ShootBiomass	GreenShootBiomass	BrownShootBiomass	ClippedShootBiomass	RootBiomass	RecruitmentBiomass	ExudationBiomass	GPP	NPP	Respiration	Radiation	ShadingIndicator	LimitingFactorWater	LimitingFactorNitrogen	AllocationShoot	AllocationRoot	AllocationRecruitment	AllocationExudation
2013-04-14	104	0	1	3	1.06754	0.88962	0.0741217	0.621583	3.09759	1	0.000729923	0.000722137	7.78657e-06	0	0.000310188	0	4.50447e-06	6.33501e-05	4.50447e-05	1.83054e-05	310.338	1	1	1	0.631343	0.268657	0	0.1
2013-04-14	104	1	1	5	0.606292	1.51573	0.0489787	1.8044	3.59799	1	0.000875194	0.000856119	1.90757e-05	0	0.00021528	0	1.01461e-05	0.000133788	0.000101461	3.23265e-05	309.888	0.998551	1	1	0.721782	0.178218	0	0.1
2013-04-14	104	2	1	6	0.900846	1.26169	0.268412	1.25024	6.03041	1	0.00117037	0.0011528	1.75678e-05	0	0.000341769	0	5.69561e-05	0.000718926	0.000569561	0.000149365	309.888	0.998551	1	1	0.69638	0.20362	0	0.1
2013-04-15	105	0	2	3	1.08309	0.902577	0.0752013	0.639821	3.13709	1	0.000762284	0.000746489	1.57945e-05	0	0.000323528	0	5.12811e-06	7.43913e-05	5.12811e-05	2.31102e-05	552.701	1	1	1	0.631343	0.268657	0	0.1
2013-04-15	105	1	2	5	0.626199	1.5655	0.0505869	1.92484	3.70074	1	0.000964266	0.000924846	3.942e-05	0	0.00023639	0	1.2346e-05	0.000164878	0.00012346	4.14188e-05	551.663	0.998122	1	1	0.721782	0.178218	0	0.1
2013-04-15	105	2	2	6	1.04837	1.46831	0.312369	1.69327	7.11786	1	0.00184468	0.00180095	4.3724e-05	0	0.00053827	0	9.68366e-05	0.00122521	0.000968366	0.000256842	551.663	0.998122	1	1	0.69638	0.20362	0	0.1
2013-04-16	106	0	3	3	1.09849	0.915405	0.07627	0.658137	3.17617	1	0.000795249	0.000771184	2.40647e-05	0	0.000337109	0	5.22525e-06	7.50746e-05	5.22525e-05	2.28221e-05	476.459	1	1	1	0.631343	0.268657	0	0.1
2013-04-16	106	1	3	5	0.645728	1.61432	0.0521645	2.04677	3.80125	1	0.00105732	0.000995946	6.13787e-05	0	0.000258402	0	1.29015e-05	0.000171735	0.000129015	4.27205e-05	455.571	0.956159	1	1	0.721782	0.178218	0	0.1
2013-04-16	106	2	3	6	1.21508	1.70179	0.36204	2.27459	8.36461	1	0.00287201	0.00278744	8.45701e-05	0	0.000837617	0	0.000147537	0.00186534	0.00147537	0.000389967	476.459	1	1	1	0.69638	0.20362	0	0.1
2013-04-17	107	0	4	3	1.11312	0.927597	0.0772859	0.675785	3.21321	1	0.00082745	0.000794849	3.26008e-05	0	0.00035035	0	5.10557e-06	7.46493e-05	5.10557e-05	2.35936e-05	392.339	1	1	1	0.631343	0.268657	0	0.1
2013-04-17	107	1	4	5	0.663391	1.65848	0.0535914	2.16028	3.89156	1	0.00114649	0.00106148	8.50066e-05	0	0.000279366	0	1.23649e-05	0.000166674	0.000123649	4.30257e-05	303.574	0.773755	1	1	0.721782	0.178218	0	0.1
2013-04-17	107	2	4	6	1.40028	1.96118	0.417221	3.02081	9.769	1	0.00439559	0.00424781	0.000147773	0	0.00128149	0	0.000218807	0.00277016	0.00218807	0.00058209	392.339	1	1	1	0.69638	0.20362	0	0.1
2013-04-18	108	0	5	3	1.12855	0.940461	0.0783577	0.694659	3.25235	1	0.000862356	0.000820965	4.1391e-05	0	0.000364727	0	5.53548e-06	8.17029e-05	5.53548e-05	2.63481e-05	513.789	1	1	1	0.631343	0.268657	0	0.1
2013-04-18	108	1	5	5	0.680512	1.70128	0.0549745	2.27322	3.97881	1	0.00123756	0.00112739	0.00011017	0	0.000300722	0	1.26336e-05	0.000172396	0.000126336	4.60597e-05	273.573	0.532461	1	1	0.721782	0.178218	0	0.1
