Simulation results on grassland dynamics (at population and community level).
Time	PFT	Fraction
843	0	36.4846
843	1	27.381
843	2	36.1345
853	0	36.6831
853	1	27.3366
853	2	35.9803
857	0	36.5614
857	1	27.3684
857	2	36.0702
869	0	36.7792
869	1	27.2152
869	2	36.0056
875	0	37.0684
875	1	27.1318
875	2	35.7999
877	0	37.024
877	1	27.0804
877	2	35.8956
881	0	37.024
881	1	27.0804
881	2	35.8956
882	0	37.1025
882	1	27.0671
882	2	35.8304
891	0	36.9902
891	1	27.1449
891	2	35.865
906	0	36.887
906	1	26.9367
906	2	36.1763
920	0	37.1977
920	1	26.6003
920	2	36.202
932	0	37.1347
932	1	26.7284
932	2	36.1368
934	0	37.0795
934	1	26.6285
934	2	36.2921
947	0	37.1245
947	1	26.6094
947	2	36.2661
958	0	37.1877
958	1	26.3383
958	2	36.4739
962	0	37.3571
962	1	26.3571
962	2	36.2857
966	0	37.491
966	1	26.0932
966	2	36.4158
967	0	37.491
967	1	26.0932
967	2	36.4158
980	0	37.6352
980	1	26.0995
980	2	36.2653
996	0	37.5179
996	1	26.1836
996	2	36.2984
1014	0	37.5271
1014	1	26.175
1014	2	36.2979
1028	0	37.4728
1028	1	26.1438
1028	2	36.3834
1043	0	37.6812
1043	1	25.8696
1043	2	36.4493
1189	0	38.4959
1189	1	24.7208
1189	2	36.7833
1203	0	38.3982
1203	1	24.6257
1203	2	36.976
1210	0	38.3982
1210	1	24.5509
1210	2	37.0509
1224	0	38.3808
1224	1	24.4378
1224	2	37.1814
1225	0	38.4558
1225	1	24.4378
1225	2	37.1064
1241	0	38.9055
1241	1	23.988
1241	2	37.1064
1245	0	38.9805
1245	1	24.063
1245	2	36.9565
1252	0	38.9434
1252	1	23.8491
1252	2	37.2075
1253	0	38.9894
1253	1	23.8311
1253	2	37.1795
1266	0	38.9014
1266	1	23.9278
1266	2	37.1708
1281	0	38.7879
1281	1	24.0152
1281	2	37.197
1294	0	39.0578
1294	1	23.9362
1294	2	37.0061
1305	0	39.1138
1305	1	23.6822
1305	2	37.204
1316	0	39.348
1316	1	23.4268
1316	2	37.2252
1322	0	39.3293
1322	1	23.3232
1322	2	37.3476
1329	0	39.542
1329	1	23.1298
1329	2	37.3282
1330	0	39.6486
1330	1	23.071
1330	2	37.2804
1336	0	39.4194
1336	1	23.071
1336	2	37.5095
1357	0	39.3846
1357	1	22.9231
1357	2	37.6923
1378	0	39.2996
1378	1	23.1128
1378	2	37.5875
1387	0	39.4675
1387	1	23.0227
1387	2	37.5098
1403	0	39.5785
1403	1	22.7166
1403	2	37.7049
1546	0	40.4819
1546	1	20.9639
1546	2	38.5542
1561	0	40.3226
1561	1	20.8065
1561	2	38.871
1571	0	40.3226
1571	1	20.7258
1571	2	38.9516
1585	0	40.4568
1585	1	20.5546
1585	2	38.9886
1602	0	40.6352
1602	1	20.3583
1602	2	39.0065
1609	0	40.7498
1609	1	20.1304
1609	2	39.1198
1610	0	40.7648
1610	1	20.179
1610	2	39.0561
1611	0	40.6352
1611	1	20.1954
1611	2	39.1694
1623	0	40.5186
1623	1	20.0972
1623	2	39.3841
1638	0	40.9128
1638	1	20.0489
1638	2	39.0383
1658	0	40.8013
1658	1	19.7874
1658	2	39.4113
1674	0	40.6557
1674	1	19.6721
1674	2	39.6721
1681	0	40.756
1681	1	19.5563
1681	2	39.6878
1689	0	40.9836
1689	1	19.3443
1689	2	39.6721
1693	0	40.9203
1693	1	19.3098
1693	2	39.7699
1694	0	40.823
1694	1	19.3416
1694	2	39.8354
1701	0	40.7131
1701	1	19.403
1701	2	39.8839
1722	0	40.7315
1722	1	19.1189
1722	2	40.1496
1737	0	40.8826
1737	1	18.9009
1737	2	40.2165
1749	0	41.3278
1749	1	18.9212
1749	2	39.751
1977	0	43.0988
1977	1	15.4052
1977	2	41.496
1987	0	43.4164
1987	1	15.3915
1987	2	41.1922
1988	0	43.3778
1988	1	15.3778
1988	2	41.2444
2057	0	44.186
2057	1	14.1324
2057	2	41.6816
2060	0	44.2049
2060	1	14.1959
2060	2	41.5993
2342	0	46.3228
2342	1	10.2197
2342	2	43.4575
2352	0	46.5138
2352	1	10.0287
2352	2	43.4575
2353	0	46.374
2353	1	10.1145
2353	2	43.5115
2415	0	46.9052
2415	1	8.9942
2415	2	44.1006
2421	0	47.0302
2421	1	8.66602
2421	2	44.3038
2705	0	49.5317
2705	1	3.95421
2705	2	46.514
2715	0	50
2715	1	3.55649
2715	2	46.4435
2716	0	50
2716	1	3.55649
2716	2	46.4435
2779	0	50.1597
2779	1	2.8754
2779	2	46.9649
2806	0	50.5353
2806	1	2.03426
2806	2	47.4304
3069	0	51.8232
3069	1	0.441989
3069	2	47.7348
3086	0	52.0442
3086	1	0.441989
3086	2	47.5138
3087	0	52.0971
3087	1	0.331126
3087	2	47.5717
3144	0	52.0763
3144	1	0.3367
3144	2	47.587
3156	0	51.7978
3156	1	0.337079
3156	2	47.8652
3170	0	51.9685
3170	1	0.449944
3170	2	47.5816
3171	0	51.9641
3171	1	0.448934
3171	2	47.587
3451	0	52.306
3451	1	0.224972
3451	2	47.4691
3452	0	52.2472
3452	1	0.337079
3452	2	47.4157
